event,description,latitude,longitude,event_url,start_date_time,end_date_time,image_logo,venue,address
The Queen's Guard: 7:00PM SHOW,"ABOUT THE ARTISTS A community of artists seasoned in the Gospel, R&B and Funk scenes across the coun..",35.996634,-78.903935,https://www.eventbrite.com/e/the-queens-guard-700pm-show-tickets-43890347210?aff=ebapi,2018-04-14T19:00:00,2018-04-14T20:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F41803999%2F169638655073%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C36%2C810%2C405&s=c7b5334cc8d8de38f266cc8b12e2995d,Beyu Caffe,"341 West Main Street, Durham, NC 27701"
The Queen's Guard: 9:00PM SHOW,"ABOUT THE ARTISTS A community of artists seasoned in the Gospel, R&B and Funk scenes across the coun..",35.996634,-78.903935,https://www.eventbrite.com/e/the-queens-guard-900pm-show-tickets-43890626044?aff=ebapi,2018-04-14T21:00:00,2018-04-14T22:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F41804099%2F169638655073%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C36%2C810%2C405&s=4129095b0723d59baa651ced74cb9685,Beyu Caffe,"341 West Main Street, Durham, NC 27701"
Soul of the Bull Food Truck & Vendor Festival Series,"SATURDAY APRIL 15TH 2PM-7PM 800 N MANGUM ST. DURHAM, NC THE SOUL OF THE BULL FESTIVAL SERIES IS HELD..",36.001505,-78.8949526,https://www.eventbrite.com/e/soul-of-the-bull-food-truck-vendor-festival-series-tickets-44240559705?aff=ebapi,2018-04-15T14:00:00,2018-04-15T19:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F42291371%2F221981278477%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C0%2C1798%2C899&s=0d2b7f088e2816d0c9ca92980e18392c,800 N Mangum St,"800 North Mangum Street, Durham, NC 27701"
20/20 Sisters of Vision: Celebrating A Decade of Giving,AFRICAN AMERICAN WOMEN IN PHILANTHROPY20/20 Sisters of Vision (A Giving Circle Established in 2008) ..,35.9443735,-78.9058527,https://www.eventbrite.com/e/2020-sisters-of-vision-celebrating-a-decade-of-giving-tickets-43180362627?aff=ebapi,2018-04-14T13:00:00,2018-04-14T15:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F40932066%2F203208412894%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C449%2C3300%2C1650&s=e34c1f2ff2982d61e94a1bd3c6295e0b,Ivy Community Center,"4222 Fayetteville St, Durham, NC 27713"
BLISS: MAIN EVENT'S OFFICIAL ALL WHITE AFFAIR,"A dab of ELEGANCE, a touch of CLASS, a pinch of SEXY, and expectations to exceed the status quo. The..",35.9940329,-78.898619,https://www.eventbrite.com/e/bliss-main-events-official-all-white-affair-tickets-43113273963?aff=ebapi,2018-04-14T22:00:00,2018-04-15T03:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F41073347%2F188272696643%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C150%2C1200%2C600&s=1d8d43409dcf56b8c57c0cb5ea8f6530,Durham,"Durham, NC"
NOTHING BUT R&B VOLUME II - A KING VS. A PRINCE,"Nothing But R&B is back! The first time we did it, we didn't stop dancing until 3am! Well get ready ..",35.9523751,-78.9969168,https://www.eventbrite.com/e/nothing-but-rb-volume-ii-a-king-vs-a-prince-tickets-43706773135?aff=ebapi,2018-04-14T22:00:00,2018-04-15T02:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F41985993%2F134174199563%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C180%2C750%2C375&s=dd9a0b62455642a3dec6f520773023fe,UPTOWN BAR & LOUNGE,"5504 DURHAM CHAPEL HILL BLVD, DURHAM, NC 27707"
Pints for Paws Craft Beverage Festival,"Saving Animals One Pint at a Time Join us at our new Pints for Paws craft beverage event, sample a s..",36.0196814,-78.9106428,https://www.eventbrite.com/e/pints-for-paws-craft-beverage-festival-tickets-43327831711?aff=ebapi,2018-04-14T12:00:00,2018-04-14T16:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F41116576%2F1579505682%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C209%2C600%2C300&s=96c17359b8091d66d0632f1ab96c116c,Northgate Plaza,"1058 West Club Boulevard, Durham, NC 27701"
Comedy Showcase 2018,2018 Comedy Showcase Virginia State University Alumini Association - Greater Triangle Area Chapter i..,36.015767,-78.9189648,https://www.eventbrite.com/e/comedy-showcase-2018-tickets-42929954650?aff=ebapi,2018-04-14T19:00:00,2018-04-14T22:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F40590535%2F243885609946%2F1%2Foriginal.jpg?h=200&w=450&rect=39%2C198%2C648%2C324&s=f986d7c4c009e2ca6059400e80ee754b,The Vault,"1104 Broad Street, Durham, NC 27705"
KIDS YOGA | Honeysuckle Tea House ,During this 45-minute weekly parent-child yoga class you and your child(ren) will bond as we go on a..,35.9434862,-79.1528889,https://www.eventbrite.com/e/kids-yoga-honeysuckle-tea-house-tickets-44407694610?aff=ebapi,2018-04-13T09:30:00,2018-04-13T10:15:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F42525093%2F188789873717%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C408%2C3264%2C1632&s=3aec54b12dd9eacb3db043bc87225164,The Honeysuckle Tea House,"8871 Pickards Meadow Road, Chapel Hill, NC 27516"
The Listening Soundtrack & Dance Party - Every Second Saturday,"After 4 years A.C.T. Productions is bringing back THE LISTENING to DURHAM, NC. We will be showcasing..",35.9658692,-78.9633656,https://www.eventbrite.com/e/the-listening-soundtrack-dance-party-every-second-saturday-tickets-43584991884?aff=ebapi,2018-04-14T22:00:00,2018-04-15T02:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F41995601%2F86848715%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C1050%2C2100%2C1050&s=0fa5f94dd92e93970cbafb111fecd417,K-mix Bar,"3400 Westgate Drive, Durham, NC 27707"
SUSO-NC's Women's Benefit Concert-14th YR Anniversary Celebration,"""When women come together we shake up the atmosphere and create a lasting impact through our voice a..",35.952625,-78.997107,https://www.eventbrite.com/e/suso-ncs-womens-benefit-concert-14th-yr-anniversary-celebration-tickets-44184701632?aff=ebapi,2018-04-14T19:00:00,2018-04-14T21:30:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F42203264%2F45762397009%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C338%2C2100%2C1050&s=e60f7c716a76f6adcfb39a5341a10bb5,Uptown Bar and Lounge,"5504 Durham-Chapel Hill Boulevard, Durham, NC 27707"
Kids Yoga | Toddler Class (Fridays),During this 45-minute weekly parent-child yoga class you and your child(ren) will bond as we go on a..,35.9258779,-79.0328107,https://www.eventbrite.com/e/kids-yoga-toddler-class-fridays-tickets-43712837273?aff=ebapi,2018-04-13T09:30:00,2018-04-13T10:15:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F41586409%2F188789873717%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C381%2C4032%2C2016&s=7252bfcd6d88cdef1b5d1ef69b8f9836,Chapel Hill Community Center,"120 South Estes Drive, Chapel Hill, NC 27514"
Sony Music Competition & After party ,SONY MUSIC will be auditioning new talent and giving an opportunity for multiple groups to get a dig..,36.04044,-79.799386,https://www.eventbrite.com/e/sony-music-competition-after-party-tickets-44310135809?aff=ebapi,2018-04-14T19:00:00,2018-04-14T22:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F42382498%2F196782810342%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C464%2C1200%2C600&s=433b6a9b340aeae755e806b35a780ddf,Meridian Convention Center,"312 West Meadowview Road, Greensboro, NC 27406"
GAMETIME Thursdays @ Studio 405,"Each and every Thursday join us at Studio 405 for good music, food and drinks. Pool tables, full bar..",36.0174672,-79.8046321,https://www.eventbrite.com/e/gametime-thursdays-studio-405-tickets-37697619595?aff=ebapi,2018-04-12T22:00:00,2018-04-13T02:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F35250712%2F225515341956%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C0%2C2160%2C1080&s=1fbf861fde0a6bbb3ee3edd9c8f1d589,Studio 405,"405 Rocky Knoll Rd, Greensboro, NC 27407"
★-★ Pretty Devastating ★-★ The Official Aggiefest Gym Jam ,"PHIRST EMPIRE ENT PRESENTS: "" PRETTY DEVASTATING"" THE OFFICIAL AGGIE FEST GYM JAM FRIDAY APRIL 13TH ..",36.0881032,-79.7513977,https://www.eventbrite.com/e/-pretty-devastating-the-official-aggiefest-gym-jam-tickets-42988597051?aff=ebapi,2018-04-13T22:00:00,2018-04-14T02:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F41378449%2F239978156909%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C306%2C1200%2C600&s=4fea561b4cf07c403a63a3537b0b2443,Triad Basketball Academy of Greensboro,"805 Waugh Street, Greensboro, NC 27405"
An Evening with Mark G. Meadows,"Join Mark G. Meadows, awarded best album and composer of 2016 as well as artist of the year in 2014 ..",36.0846452,-79.8038049,https://www.eventbrite.com/e/an-evening-with-mark-g-meadows-tickets-44037507370?aff=ebapi,2018-04-14T18:00:00,2018-04-14T19:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F41999164%2F20133319562%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C328%2C1200%2C600&s=9f951b16c7d281bbf2b79a2a2483eab0,The Tiny Greenhouse,"1331 Beaman Place, Greensboro, NC 27408"
"An Evening with Mark G. Meadows, 8PM set","Join Mark G. Meadows, awarded best album and composer of 2016 as well as artist of the year in 2014 ..",36.0846452,-79.8038049,https://www.eventbrite.com/e/an-evening-with-mark-g-meadows-8pm-set-tickets-44037533448?aff=ebapi,2018-04-14T20:00:00,2018-04-14T21:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F41999266%2F20133319562%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C312%2C1124%2C562&s=e8b9e8eb287b3c234f53b10dae682692,The Tiny Greenhouse,"1331 Beaman Place, Greensboro, NC 27408"
NO FACE NO CASE: The Aggie Fest No Cell Phone Party,Damn Right x JasCity Ent x Evid Ent NO FACE NO CASE OFFICIAL AGGIEFEST NO CELL PHONE PARTY DJ K Grad..,36.0364278,-79.8567329,https://www.eventbrite.com/e/no-face-no-case-the-aggie-fest-no-cell-phone-party-tickets-43684289887?aff=ebapi,2018-04-13T22:00:00,2018-04-14T02:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F42340662%2F245339859933%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C86%2C1600%2C800&s=b02d36d54d1dcf2b2b6e17d0a3cf3215,Royal Ball,"3821 W Gate City Bvld, Greensboro, NC 27407"
Culture Clash Glow Party,"You Wanted It, YOU GOT IT!!! The Fourth Installment Is Coming For Aggie Fest 2018!!! Get Your Flags ..",36.0626556,-79.7917232,https://www.eventbrite.com/e/culture-clash-glow-party-tickets-44188825968?aff=ebapi,2018-04-14T22:00:00,2018-04-15T02:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F42532298%2F76208719769%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C787%2C2550%2C1275&s=870a3a5d0b2f7ec63cb1fd26cd549df8,Silo,"816 South Elm Street, Greensboro, NC 27406"
Triad DJ & Events Presents: Back to the 80's Glow Dance Party,"Triad DJ & Events presents Back to the 80's-Glow Dance Party! Friday, April 13th The Public, Downtow..",36.0673906,-79.7962577,https://www.eventbrite.com/e/triad-dj-events-presents-back-to-the-80s-glow-dance-party-tickets-42994560889?aff=ebapi,2018-04-13T21:00:00,2018-04-14T01:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F41411728%2F244130702669%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C27%2C1650%2C825&s=b67d4af326eb97dcf9f95ffd60abeecf,The Public,"433 Spring Garden Street #105, Greensboro, NC 27401"
Slaying Ghosts,JOYEMOVEMENT dance company brings dance to the Black Box Theater at Caldcleugh Multicultural Arts Ce..,36.0495469,-79.802046,https://www.eventbrite.com/e/slaying-ghosts-tickets-44040350875?aff=ebapi,2018-04-14T20:00:00,2018-04-14T21:30:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F42003052%2F168666100515%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C446%2C5054%2C2527&s=a576669d15496e230ee293c2904b3a5d,Caldcleugh Multicultural Center,"1700 Orchard Street, Greensboro, NC 27406"
Sunday Jazz Picnic presented by BHHS: Alfred Clemonts,Special thanks to our presenting sponsor Berkshire Hathaway HomeServices Yost & Little Realty - Frie..,36.0747062,-79.7880926,https://www.eventbrite.com/e/sunday-jazz-picnic-presented-by-bhhs-alfred-clemonts-tickets-44078697571?aff=ebapi,2018-04-15T18:00:00,2018-04-15T19:30:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F42050276%2F190438067876%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C258%2C958%2C479&s=4286a61cd73c1541aca83bdc302fac61,LeBauer Park,"208 North Davie Street, Greensboro, NC 27401"
Best Acapella Group in the Triad - 2018,"Do you love acapella singing (gospel, barber shop, chorus, etc.)? Do you want to help raise funds fo..",36.0144783,-79.9766504,https://www.eventbrite.com/e/best-acapella-group-in-the-triad-2018-tickets-42216231886?aff=ebapi,2018-04-14T14:00:00,2018-04-14T17:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F39646730%2F201740033690%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C8%2C266%2C133&s=0069688fbc32ba0abe64a673146b6e02,Deep River Church of Christ,"2067 Deep River Road, High Point, NC 27265"
The Space Heater: Erin the LMBT at Ciao Bella Beauty Bar,Let's do brunch! Many of my clients know me for my mobile massage services and now I will be expandi..,36.0676041,-79.7568107,https://www.eventbrite.com/e/the-space-heater-erin-the-lmbt-at-ciao-bella-beauty-bar-tickets-42823494224?aff=ebapi,2018-04-14T11:00:00,2018-04-14T14:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F40453098%2F88955202915%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C37%2C1200%2C600&s=c28f24e3deaaf9eb83e8971bfe9130f8,205 S Lyndon St Suite 16,"Greensboro, NC 27401"
SPILL PARTY Presents- NEON SAFARI TOUR,"""NEON SAFARI TOUR"" Saturday April, 14th 10pm-2am at Arizona Petes in Greensboro N.C. Our last party ..",36.0575382,-79.8441356,https://www.eventbrite.com/e/spill-party-presents-neon-safari-tour-tickets-44340296019?aff=ebapi,2018-04-14T22:00:00,2018-04-15T02:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F42428186%2F107685114913%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C172%2C750%2C375&s=1913a04bd73800fdc3f2222baf4675f1,Arizona Pete's,"2900 Patterson Street #A, Greensboro, NC 27407"
The War And Treaty,Tickets go on sale 02/23 @ 12:00pm All ages show $15 advance/$20 door The duo that call themselves T..,36.1788138,-80.3378077,https://www.eventbrite.com/e/the-war-and-treaty-tickets-43455767370?aff=ebapi,2018-04-11T20:00:00,2018-04-11T22:30:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F41275715%2F168889936475%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C0%2C5760%2C2880&s=090c80a4e649f2f081d7efa3243bb305,Muddy Creek Cafe and Music Hall,"5455 Bethania Road, Winston-Salem, NC 27106"
Antigone Rising with Christy Snow.,"All ages show $15 anvance/$20 door Best known for relentless touring and masterful musicianship, Ant..",36.1788138,-80.3378077,https://www.eventbrite.com/e/antigone-rising-with-christy-snow-tickets-41175971439?aff=ebapi,2018-04-12T20:00:00,2018-04-12T23:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F38559890%2F168889936475%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C0%2C1200%2C600&s=ea0617a1b828cacd2271040199409037,Muddy Creek Cafe and Music Hall,"5455 Bethania Road, Winston-Salem, NC 27106"
Hustle Souls,"all ages show $12 advance/$15 door Once upon a time in the budding music-mecca of Asheville, NC, a m..",36.1788138,-80.3378077,https://www.eventbrite.com/e/hustle-souls-tickets-41545878842?aff=ebapi,2018-04-14T20:00:00,2018-04-14T23:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F38969165%2F168889936475%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C76%2C1920%2C960&s=d1a903cbde9abec0ab4c9f8b6deeb52e,Muddy Creek Cafe and Music Hall,"5455 Bethania Road, Winston-Salem, NC 27106"
REGGAE SUNDAYZ,Reggae Sunday’s @ Absolute Lounge,36.147958,-80.2255252,https://www.eventbrite.com/e/reggae-sundayz-tickets-44428234044?aff=ebapi,2018-04-15T21:00:00,2018-04-16T02:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F42554062%2F249689807903%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C47%2C1070%2C535&s=103bace0a2886fdf51c144488f1b03d6,Absolute Lounge,"4218 Liberty Street, WINSTON SALEM, North Carolina 27105"
Dr. Eben Alexander & Karen Newell - Living In A Mindful Universe,All ages show $55 advance/$60 door LIVING IN A MINDFUL UNIVERSE (A Neurosurgeon's Journey into the H..,36.1788138,-80.3378077,https://www.eventbrite.com/e/dr-eben-alexander-karen-newell-living-in-a-mindful-universe-tickets-42428554950?aff=ebapi,2018-04-15T18:00:00,2018-04-15T20:30:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F39913774%2F168889936475%2F1%2Foriginal.jpg?h=200&w=450&rect=10%2C20%2C1170%2C585&s=f19fc874c3a84f60455f08e5083522d2,Muddy Creek Cafe and Music Hall,"5455 Bethania Road, Winston-Salem, NC 27106"
Dori Freeman,All ages show $15 advance/$18 door The New York Times named Freeman’s self-titled debut—an honest an..,36.1788138,-80.3378077,https://www.eventbrite.com/e/dori-freeman-tickets-41951396757?aff=ebapi,2018-04-13T20:00:00,2018-04-13T22:30:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F39339679%2F168889936475%2F1%2Foriginal.jpg?h=200&w=450&rect=80%2C43%2C982%2C491&s=7e9b939ff804ff47d8ef23ec4427e6a2,Muddy Creek Cafe and Music Hall,"5455 Bethania Road, Winston-Salem, NC 27106"
2018 Pinwheel Gala,"Thanks to generous donors like you, more children in northwest North Carolina are growing up in safe..",36.0963025,-80.2479182,https://www.eventbrite.com/e/2018-pinwheel-gala-tickets-42843238279?aff=ebapi,2018-04-13T18:00:00,2018-04-13T22:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F42087629%2F205024779074%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C13%2C1200%2C600&s=e674f6a88234dc84cd76339ba577c4b2,Milton Rhodes Center for the Arts,"251 Spruce Street North, Winston-Salem, NC 27101"
 4th Annual Twin City Youth Slam: Winston-Salem Forsyth County Schools/Forsyth Middle College/Office of Multicultural Education/The Poetry Project,Youth Slam competitors will be selected on a first come/first served basis (2 competitors per school..,36.0694251,-80.2727327,https://www.eventbrite.com/e/4th-annual-twin-city-youth-slam-winston-salem-forsyth-county-schoolsforsyth-middle-collegeoffice-of-tickets-43177243297?aff=ebapi,2018-04-13T10:30:00,2018-04-13T15:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F40935241%2F198694527338%2F1%2Foriginal.jpg?h=200&w=450&rect=3%2C0%2C1868%2C934&s=6193011ddcf8b2235bc923cacb2b6ccd,Robert L. Strickland Conference Center,"Forsyth Technical Community College 1615 Miller Street , Winston-Salem, NC 27103"
Seussical Jr.,"""Oh, the thinks you can think"" when Dr. Seuss' best-loved characters collide and cavort in an unforg..",35.7448222,-81.5667551,https://www.eventbrite.com/e/seussical-jr-tickets-42446664115?aff=ebapi,2018-04-14T19:00:00,2018-04-14T21:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F39938848%2F19672814434%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C14%2C496%2C248&s=c56ff6474a6105bb7473a4631c3006b9,Old Rock School,"400 Main Street West, Valdese, NC 28690"
